videoID,url,timestamp,caption,matching_score,desirable_filtering,shot_boundary_detection
dkxOFXhvZRo,https://www.youtube.com/watch?v=dkxOFXhvZRo,"[['0:00:12.400', '0:00:16.320'], ['0:00:17.600', '0:00:24.240'], ['0:00:25.720', '0:00:31.320']]","['A picture of a smokestack with a quote on it.', 'A woman doctor is talking to a young girl while she is being tended to.', 'A young girl wearing an oxygen mask.']","[0.4599609375, 0.43603515625, 0.47119140625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.880']], [['0:00:00.000', '0:00:06.600']], [['0:00:00.000', '0:00:02.000'], ['0:00:02.040', '0:00:05.560']]]"
dnpYkxuB-G4,https://www.youtube.com/watch?v=dnpYkxuB-G4,"[['0:00:30.163', '0:00:32.832'], ['0:00:34.300', '0:00:43.610'], ['0:00:58.024', '0:01:02.328']]","['A man is sitting in a chair and talking to a woman in a lab.', 'A man is sitting at a desk in a laboratory and talking to the camera. he is wearing a blue shirt, and there are various objects on the desk such as a bottle of peanut butter, a jar of peanuts, and a jar of jelly.', 'There is a small black object floating on the surface of water.']","[0.464111328125, 0.49169921875, 0.449462890625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.635']], [['0:00:00.000', '0:00:09.309']], [['0:00:00.000', '0:00:04.270']]]"
dw0BESgjcyM,https://www.youtube.com/watch?v=dw0BESgjcyM,"[['0:00:04.900', '0:00:08.166'], ['0:00:17.933', '0:00:20.266'], ['0:00:55.433', '0:00:57.800']]","['A man is sitting at a table and talking during an interview.', 'A man is reading a piece of paper while wearing a green shirt and glasses.', 'A man is sitting at a table with another man and they are discussing something.']","[0.4619140625, 0.472412109375, 0.45654296875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.233']], [['0:00:00.000', '0:00:02.300']], [['0:00:00.000', '0:00:02.333']]]"
e2pQ4NUa1LY,https://www.youtube.com/watch?v=e2pQ4NUa1LY,"[['0:00:55.472', '0:00:58.183'], ['0:10:26.083', '0:10:35.259'], ['0:11:15.508', '0:11:20.054']]","['A man standing in front of a video with the text.', 'A man with a beard is standing in front of a stereo.', 'The speaker is a man with a beard and a red shirt. he is sitting in front of a computer and talking to the camera.']","[0.44921875, 0.43798828125, 0.458740234375]","['0_low_desirable_score', 'desirable', '3_screen_in_screen']","[[['0:00:00.000', '0:00:02.669']], [['0:00:00.000', '0:00:09.134']], [['0:00:00.000', '0:00:04.504']]]"
e8aXsb0cCqU,https://www.youtube.com/watch?v=e8aXsb0cCqU,"[['0:00:45.000', '0:00:49.040'], ['0:01:37.800', '0:01:39.840'], ['0:02:40.000', '0:02:43.920']]","['Two young women are standing in a kitchen and talking to each other.', 'A person is cutting butter into small cubes in a glass bowl.', 'A person is stirring a pot of yellow liquid in a metal bowl on a stove.']","[0.4775390625, 0.451904296875, 0.439208984375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:04.000']], [['0:00:00.000', '0:00:02.000']], [['0:00:00.000', '0:00:01.360'], ['0:00:01.400', '0:00:02.760'], ['0:00:02.800', '0:00:03.880']]]"
eBNoAcc-xP8,https://www.youtube.com/watch?v=eBNoAcc-xP8,"[['0:00:00.533', '0:00:04.971'], ['0:01:12.405', '0:01:16.976'], ['0:01:18.078', '0:01:22.782']]","['A man standing in a kitchen with a knife on a cutting board.', 'A man and a woman are looking at food on shelves in a store.', 'A man is shopping in a grocery store and picking up different types of snack foods.']","[0.45751953125, 0.439208984375, 0.455322265625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:04.404']], [['0:00:00.000', '0:00:03.236'], ['0:00:03.269', '0:00:04.537']], [['0:00:00.000', '0:00:04.037'], ['0:00:04.070', '0:00:04.671']]]"
eFf15326_Y0,https://www.youtube.com/watch?v=eFf15326_Y0,"[['0:00:04.237', '0:00:38.271'], ['0:02:23.042', '0:02:31.050'], ['0:04:09.249', '0:04:15.388']]","['The team selection screen in fifa 16.', 'A screenshot of a game in progress with a soccer stadium in the background.', 'It is a screenshot of a soccer game, with the players on the field and the scoreboard displaying the current score.']","[0.46630859375, 0.43359375, 0.452880859375]","['3_screen_in_screen', '4_computer_screen_recording', '4_computer_screen_recording']","[[['0:00:00.000', '0:00:03.436'], ['0:00:03.470', '0:00:04.371'], ['0:00:04.437', '0:00:05.238'], ['0:00:05.271', '0:00:05.805'], ['0:00:05.839', '0:00:08.875'], ['0:00:08.908', '0:00:09.542'], ['0:00:09.609', '0:00:10.410'], ['0:00:10.443', '0:00:12.779'], ['0:00:12.812', '0:00:14.781'], ['0:00:14.814', '0:00:15.849'], ['0:00:15.882', '0:00:16.349'], ['0:00:16.383', '0:00:22.956'], ['0:00:22.989', '0:00:32.966'], ['0:00:32.999', '0:00:34.000']], [['0:00:00.000', '0:00:02.102'], ['0:00:02.135', '0:00:07.974']], [['0:00:00.000', '0:00:01.434'], ['0:00:01.501', '0:00:04.637'], ['0:00:04.671', '0:00:06.106']]]"
eG-mdoz0HqU,https://www.youtube.com/watch?v=eG-mdoz0HqU,"[['0:01:35.360', '0:01:38.880'], ['0:01:52.160', '0:01:54.320'], ['0:04:28.360', '0:04:32.000']]","['A woman in an apron mixing something in a bowl.', 'Two women in aprons standing in front of a counter.', 'Two women in aprons preparing food in a kitchen.']","[0.45361328125, 0.46875, 0.49169921875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.480']], [['0:00:00.000', '0:00:02.120']], [['0:00:00.000', '0:00:03.600']]]"
eGK3qcp6Oek,https://www.youtube.com/watch?v=eGK3qcp6Oek,"[['0:00:48.166', '0:00:51.541'], ['0:01:11.625', '0:01:14.541'], ['0:01:30.000', '0:01:32.166']]","['A close up of the front end of a silver truck.', 'A dashboard and steering wheel of a car.', 'A silver truck parked in front of a sign that says titan warrior.']","[0.450439453125, 0.448974609375, 0.447265625]","['1_still_foreground_image', '2_tiny_camera_movement', '2_tiny_camera_movement']","[[['0:00:00.000', '0:00:03.333']], [['0:00:00.000', '0:00:02.875']], [['0:00:00.000', '0:00:02.125']]]"
eICihsQIuio,https://www.youtube.com/watch?v=eICihsQIuio,"[['0:01:46.240', '0:01:54.600'], ['0:03:29.600', '0:03:42.600'], ['0:04:08.800', '0:04:15.840']]","['A man sitting at a table with a microphone and another man talking into it.', 'Two men sitting at a table with microphones and a laptop.', ""A picture of a woman's lips with a picture of sugar cubes in the background.""]","[0.45556640625, 0.468994140625, 0.452392578125]","['desirable', 'desirable', '0_low_desirable_score']","[[['0:00:00.000', '0:00:08.320']], [['0:00:00.000', '0:00:12.960']], [['0:00:00.000', '0:00:07.000']]]"
eJ6tS1AXaRM,https://www.youtube.com/watch?v=eJ6tS1AXaRM,"[['0:00:26.560', '0:00:30.600'], ['0:02:29.240', '0:02:34.840'], ['0:03:16.520', '0:03:22.240']]","['A man is standing in front of a car and talking to the camera.', 'A red and blue aston martin parked in front of a building.', 'A man is sitting under the open hood of a car and talking to the camera.']","[0.471923828125, 0.465576171875, 0.461181640625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:04.000']], [['0:00:00.000', '0:00:05.560']], [['0:00:00.000', '0:00:05.680']]]"
eJu5YgKy8Sg,https://www.youtube.com/watch?v=eJu5YgKy8Sg,"[['0:00:00.300', '0:00:02.869'], ['0:00:47.247', '0:00:50.450'], ['0:02:41.161', '0:02:49.602']]","['There is a green helicopter parked on a grassy field with people standing around it.', 'Two young men sitting next to each other.', 'There is an aerial view of a village that has been destroyed by flooding.']","[0.49462890625, 0.449951171875, 0.468505859375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.535']], [['0:00:00.000', '0:00:03.169']], [['0:00:00.000', '0:00:08.408']]]"
eUIwPB5pWig,https://www.youtube.com/watch?v=eUIwPB5pWig,"[['0:00:46.933', '0:01:01.933'], ['0:01:08.233', '0:01:31.166'], ['0:01:35.466', '0:01:41.900']]","['A computer screen showing a santa claus website.', 'A computer screen showing a list of items.', 'A computer screen displaying a web page.']","[0.474609375, 0.454833984375, 0.451416015625]","['4_computer_screen_recording', '4_computer_screen_recording', '4_computer_screen_recording']","[[['0:00:00.000', '0:00:14.966']], [['0:00:00.000', '0:00:22.900']], [['0:00:00.000', '0:00:02.033'], ['0:00:02.066', '0:00:02.866'], ['0:00:02.900', '0:00:06.433']]]"
ea0xDNB1QsQ,https://www.youtube.com/watch?v=ea0xDNB1QsQ,"[['0:00:06.740', '0:00:10.777'], ['0:03:44.691', '0:03:47.560'], ['0:10:36.068', '0:10:46.512']]","['A woman is talking on the news.', 'A woman talking on a tv show.', 'A man in black is standing in front of a tv with a show on it.']","[0.458251953125, 0.46630859375, 0.4443359375]","['3_screen_in_screen', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:01.267'], ['0:00:01.334', '0:00:02.836'], ['0:00:02.869', '0:00:04.004']], [['0:00:00.000', '0:00:02.836']], [['0:00:00.000', '0:00:10.410']]]"
ec3NLnMW1Ws,https://www.youtube.com/watch?v=ec3NLnMW1Ws,"[['0:00:00.467', '0:00:04.504'], ['0:00:13.246', '0:00:16.082'], ['0:00:26.026', '0:00:31.131']]","['A man in a suit and tie standing in front of a tv screen.', 'There is a group of young girls standing on a basketball court and being recognized for their achievements.', 'There is a group of girls playing basketball on a court, with one player grabbing an offensive rebound and putting it back for a two-point score.']","[0.435546875, 0.47998046875, 0.468994140625]","['0_low_desirable_score', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:04.004']], [['0:00:00.000', '0:00:02.802']], [['0:00:00.000', '0:00:05.071']]]"
ecC0dSBe9MY,https://www.youtube.com/watch?v=ecC0dSBe9MY,"[['0:01:32.792', '0:01:52.712'], ['0:02:01.154', '0:02:49.202'], ['0:06:03.896', '0:06:06.299']]","['A man in a suit and tie talking to a news anchor.', 'A woman is talking to a news anchor on a tv screen.', 'A woman is talking on the news.']","[0.448486328125, 0.43017578125, 0.472412109375]","['3_screen_in_screen', '3_screen_in_screen', '0_low_desirable_score']","[[['0:00:00.000', '0:00:07.674'], ['0:00:07.707', '0:00:19.919']], [['0:00:00.000', '0:00:11.511'], ['0:00:11.544', '0:00:16.383'], ['0:00:16.416', '0:00:18.718'], ['0:00:18.752', '0:00:22.689'], ['0:00:22.722', '0:00:31.164'], ['0:00:31.197', '0:00:32.932'], ['0:00:32.999', '0:00:48.014']], [['0:00:00.000', '0:00:02.402']]]"
ehpqDIJ2NVk,https://www.youtube.com/watch?v=ehpqDIJ2NVk,"[['0:00:15.882', '0:00:18.284'], ['0:00:18.885', '0:00:21.287'], ['0:00:22.055', '0:00:26.092']]","['There is a white letter ""a"" on the ground with a bullet hole in it.', 'There is a car crash on a street at night, and the police are investigating the scene.', 'Police officers are investigating a car accident at night.']","[0.462158203125, 0.443603515625, 0.44384765625]","['0_low_desirable_score', 'desirable', '0_low_desirable_score']","[[['0:00:00.000', '0:00:02.369']], [['0:00:00.000', '0:00:02.369']], [['0:00:00.000', '0:00:02.502'], ['0:00:02.535', '0:00:03.036'], ['0:00:03.069', '0:00:04.004']]]"
eoPXS7PYuCI,https://www.youtube.com/watch?v=eoPXS7PYuCI,"[['0:00:00.633', '0:00:05.933'], ['0:00:53.833', '0:00:56.500'], ['0:01:45.200', '0:01:49.166']]","['There is a basketball game being played, and the announcers are talking about it.', 'A man with a beard on a basketball court.', 'A man in a suit and tie talks to the crowd during a basketball game against sports team.']","[0.435546875, 0.43115234375, 0.43505859375]","['3_screen_in_screen', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:05.266']], [['0:00:00.000', '0:00:02.633']], [['0:00:00.000', '0:00:01.100'], ['0:00:01.133', '0:00:03.933']]]"
eqvpbIv8sU4,https://www.youtube.com/watch?v=eqvpbIv8sU4,"[['0:00:54.387', '0:00:59.350'], ['0:01:47.816', '0:01:50.485'], ['0:02:53.089', '0:02:56.843']]","['A woman is screaming in front of a man.', 'A family of three is sitting on a couch and looking at a catalog together.', 'A blue background with a white logo on it.']","[0.458251953125, 0.43798828125, 0.4423828125]","['desirable', 'desirable', '1_still_foreground_image']","[[['0:00:00.000', '0:00:04.921']], [['0:00:00.000', '0:00:02.627']], [['0:00:00.000', '0:00:03.712']]]"
evukrLjB7TM,https://www.youtube.com/watch?v=evukrLjB7TM,"[['0:00:15.166', '0:00:56.791'], ['0:01:56.916', '0:02:40.833'], ['0:03:10.416', '0:03:20.625']]","['A man wearing glasses is standing in front of a laptop and talking to the camera.', 'A screen shot of a computer screen showing a program.', 'A computer screen with a black background.']","[0.472412109375, 0.44921875, 0.45751953125]","['desirable', '4_computer_screen_recording', '4_computer_screen_recording']","[[['0:00:00.000', '0:00:41.583']], [['0:00:00.000', '0:00:43.916']], [['0:00:00.000', '0:00:10.208']]]"
f058cOpAidI,https://www.youtube.com/watch?v=f058cOpAidI,"[['0:00:10.250', '0:00:58.250'], ['0:02:00.600', '0:02:48.600'], ['0:03:45.616', '0:04:27.916']]","['There is a large green tree in the middle of a garden, surrounded by other plants and trees.', 'The wind is blowing on a tree with green leaves.', 'A close up of a tree with lots of green leaves.']","[0.433349609375, 0.432861328125, 0.458984375]","['2_tiny_camera_movement', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:09.450'], ['0:00:09.466', '0:00:27.083'], ['0:00:27.100', '0:00:34.083'], ['0:00:34.100', '0:00:47.983']], [['0:00:00.000', '0:00:16.116'], ['0:00:16.133', '0:00:31.766'], ['0:00:31.783', '0:00:47.400'], ['0:00:47.416', '0:00:47.983']], [['0:00:00.000', '0:00:12.233'], ['0:00:12.250', '0:00:24.000'], ['0:00:24.016', '0:00:35.766'], ['0:00:35.783', '0:00:42.283']]]"
f0P5mLeSe5k,https://www.youtube.com/watch?v=f0P5mLeSe5k,"[['0:00:06.852', '0:00:13.537'], ['0:00:25.337', '0:00:46.495'], ['0:02:18.818', '0:02:29.114']]","['A newscast with a woman in a black dress and a man in a suit.', 'A man in a suit and tie standing next to a weather map.', 'A man and a woman on a news set.']","[0.454345703125, 0.46533203125, 0.452880859375]","['3_screen_in_screen', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:06.651']], [['0:00:00.000', '0:00:21.125']], [['0:00:00.000', '0:00:10.295']]]"
f1J8SOqAmnA,https://www.youtube.com/watch?v=f1J8SOqAmnA,"[['0:00:10.710', '0:00:25.191'], ['0:01:13.339', '0:01:19.746'], ['0:01:21.314', '0:01:27.720']]","['A man sitting in front of a tv with a twitter logo on it.', 'A black man and a white woman are sitting in chairs talking to each other during an interview.', 'A picture of a basketball player flexing his arm.']","[0.431396484375, 0.45458984375, 0.455810546875]","['desirable', 'desirable', '3_screen_in_screen']","[[['0:00:00.000', '0:00:14.447']], [['0:00:00.000', '0:00:06.406']], [['0:00:00.000', '0:00:06.373']]]"
f8vtkK-_3Do,https://www.youtube.com/watch?v=f8vtkK-_3Do,"[['0:00:08.441', '0:00:19.619'], ['0:00:25.658', '0:01:03.096'], ['0:01:08.668', '0:01:16.042']]","['A close up of a purple and white crocheted item.', 'The person is knitting a small pink ball using a crochet hook.', 'The user has provided a black background with white text on it.']","[0.49169921875, 0.47119140625, 0.44873046875]","['desirable', 'desirable', '1_still_foreground_image']","[[['0:00:00.000', '0:00:11.144']], [['0:00:00.000', '0:00:37.437']], [['0:00:00.000', '0:00:07.340']]]"
fBYKXrG_8DA,https://www.youtube.com/watch?v=fBYKXrG_8DA,"[['0:00:18.143', '0:00:20.145'], ['0:00:31.114', '0:00:33.825'], ['0:00:39.414', '0:00:42.042']]","['A ladybug next to a sign that says ""sustainable development goal"".', 'A cartoon character in the dark with a flashlight.', 'The blue snail character is walking through a rocky terrain with sunlight shining on it.']","[0.451904296875, 0.46435546875, 0.448486328125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:01.960']], [['0:00:00.000', '0:00:00.792'], ['0:00:00.834', '0:00:02.669']], [['0:00:00.000', '0:00:00.959'], ['0:00:01.001', '0:00:02.627']]]"
fD3JxZBy7WU,https://www.youtube.com/watch?v=fD3JxZBy7WU,"[['0:00:00.458', '0:00:04.504'], ['0:00:11.386', '0:00:23.356'], ['0:00:30.780', '0:01:18.828']]","['The man is wearing a green jacket and a brown hat, standing in a forest surrounded by trees and leaves.', 'People are sitting and standing around a fire in a forest.', 'A man is standing in a forest and talking to the camera.']","[0.46142578125, 0.43115234375, 0.45849609375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:04.004']], [['0:00:00.000', '0:00:02.085'], ['0:00:02.127', '0:00:05.880'], ['0:00:05.964', '0:00:09.217'], ['0:00:09.300', '0:00:11.928']], [['0:00:00.000', '0:00:46.337'], ['0:00:46.421', '0:00:48.006']]]"
fLunCWtgu8Y,https://www.youtube.com/watch?v=fLunCWtgu8Y,"[['0:00:07.340', '0:00:11.378'], ['0:00:21.287', '0:00:23.423'], ['0:01:07.000', '0:01:10.603']]","['A man wearing a hat and a monkey on his shoulder.', 'There is a lemur swinging from a tree branch.', 'A close up of an animal with its tongue out.']","[0.463134765625, 0.45947265625, 0.431640625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:00.100'], ['0:00:00.133', '0:00:04.037']], [['0:00:00.000', '0:00:02.135']], [['0:00:00.000', '0:00:03.570']]]"
fOceZKotrDg,https://www.youtube.com/watch?v=fOceZKotrDg,"[['0:00:27.800', '0:00:31.040'], ['0:00:34.880', '0:00:38.080'], ['0:00:54.680', '0:00:59.920']]","['A man on a motorcycle driving past a red car.', 'There is a blue and white building with a man walking out of it.', 'There is a building with a red, yellow, and white pattern on the side of the road. there is a car parked on the side of the road, and there are flags on a pole.']","[0.458984375, 0.47802734375, 0.438232421875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.200']], [['0:00:00.000', '0:00:03.160']], [['0:00:00.000', '0:00:05.200']]]"
fUg0bJ5crkI,https://www.youtube.com/watch?v=fUg0bJ5crkI,"[['0:00:46.233', '0:00:48.600'], ['0:00:55.933', '0:00:59.933'], ['0:01:03.400', '0:01:06.633']]","['A woman in a bikini on a phone screen.', ""A police report form with a man's name on it."", 'A document with a picture of a person on it.']","[0.447265625, 0.474609375, 0.451416015625]","['1_still_foreground_image', '1_still_foreground_image', '1_still_foreground_image']","[[['0:00:00.000', '0:00:02.366']], [['0:00:00.000', '0:00:03.966']], [['0:00:00.000', '0:00:03.200']]]"
fZjdwwesgus,https://www.youtube.com/watch?v=fZjdwwesgus,"[['0:01:01.200', '0:01:06.560'], ['0:01:42.480', '0:01:44.640'], ['0:01:51.120', '0:01:53.840']]","['A person is pointing to a bottle on a shelf.', 'The store is filled with lots of different products.', 'A person is putting groceries in a shopping cart.']","[0.46533203125, 0.447509765625, 0.438232421875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.840'], ['0:00:02.880', '0:00:04.320'], ['0:00:04.360', '0:00:05.320']], [['0:00:00.000', '0:00:02.120']], [['0:00:00.000', '0:00:01.160'], ['0:00:01.200', '0:00:02.680']]]"
fcY3CZ428iM,https://www.youtube.com/watch?v=fcY3CZ428iM,"[['0:00:48.631', '0:00:50.633'], ['0:00:53.720', '0:00:55.764'], ['0:01:35.220', '0:01:37.514']]","['Three people standing next to each other in a store.', 'A group of people are standing in front of a dark building at night.', ""A poster with a quote about one of the most entertaining horror movies i've seen.""]","[0.454833984375, 0.456787109375, 0.439208984375]","['desirable', 'desirable', '1_still_foreground_image']","[[['0:00:00.000', '0:00:01.960']], [['0:00:00.000', '0:00:02.043']], [['0:00:00.000', '0:00:02.252']]]"
ffh0D5W_rG8,https://www.youtube.com/watch?v=ffh0D5W_rG8,"[['0:00:00.467', '0:00:04.371'], ['0:00:37.404', '0:00:39.639'], ['0:01:29.355', '0:01:36.529']]","['A man is standing in front of a table in a workshop, holding a piece of wood and talking to the camera.', 'A person is using a blue tape to measure and mark a piece of wood.', 'A person using a blue piece of tape to hold a piece of wood.']","[0.49755859375, 0.45654296875, 0.44970703125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.870']], [['0:00:00.000', '0:00:02.202']], [['0:00:00.000', '0:00:04.337'], ['0:00:04.371', '0:00:07.140']]]"
filqvEqjF6M,https://www.youtube.com/watch?v=filqvEqjF6M,"[['0:00:24.791', '0:00:57.273'], ['0:01:01.728', '0:01:05.081'], ['0:01:08.551', '0:01:11.905']]","['A news reporter is reporting live from a crime scene.', 'A close up of a warning sign on a pole.', 'A woman on a news station talking about a shooting.']","[0.4541015625, 0.457763671875, 0.44482421875]","['desirable', '0_low_desirable_score', 'desirable']","[[['0:00:00.000', '0:00:17.300'], ['0:00:17.317', '0:00:20.220'], ['0:00:20.236', '0:00:23.807'], ['0:00:23.823', '0:00:27.660'], ['0:00:27.677', '0:00:32.365'], ['0:00:32.382', '0:00:32.465']], [['0:00:00.000', '0:00:03.336']], [['0:00:00.000', '0:00:03.336']]]"
fjCinn-sjzk,https://www.youtube.com/watch?v=fjCinn-sjzk,"[['0:04:54.919', '0:04:58.631'], ['0:07:17.353', '0:07:20.523'], ['0:10:45.936', '0:10:48.981']]","['A young woman in an apron stands at a kitchen counter preparing food.', 'A female chef is standing in front of a kitchen counter and talking to the camera while gesturing with her hands.', 'Two young women are standing in a kitchen and talking to each other.']","[0.43798828125, 0.4599609375, 0.46630859375]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.670']], [['0:00:00.000', '0:00:03.128']], [['0:00:00.000', '0:00:01.126'], ['0:00:01.167', '0:00:03.003']]]"
